iter	Passed	Remaining
0	41	24186
1	93	27196
2	141	27326
3	186	26981
4	238	27540
5	292	28047
6	341	28030
7	390	28054
8	443	28208
9	485	27767
10	537	27916
11	587	27883
12	636	27876
13	683	27740
14	741	28017
15	798	28255
16	856	28467
17	911	28567
18	971	28775
19	1032	29024
20	1094	29231
21	1173	29866
22	1217	29581
23	1256	29206
24	1294	28848
25	1338	28631
26	1385	28474
27	1426	28226
28	1466	27961
29	1531	28186
30	1612	28666
31	1663	28590
32	1703	28334
33	1751	28232
34	1805	28216
35	1874	28422
36	1930	28429
37	1975	28286
38	2028	28242
39	2072	28081
40	2124	28033
41	2171	27922
42	2219	27815
43	2264	27683
44	2318	27671
45	2377	27697
46	2429	27658
47	2481	27608
48	2532	27547
49	2582	27477
50	2643	27522
51	2691	27430
52	2737	27322
53	2787	27251
54	2833	27151
55	2877	27027
56	2923	26928
57	2968	26816
58	3017	26745
59	3070	26709
60	3120	26650
61	3164	26540
62	3206	26413
63	3247	26283
64	3294	26205
65	3347	26172
66	3399	26128
67	3451	26092
68	3501	26032
69	3561	26049
70	3611	25993
71	3677	26052
72	3734	26037
73	3787	25997
74	3835	25924
75	3883	25853
76	3931	25782
77	3975	25685
78	4026	25639
79	4075	25575
80	4140	25607
81	4195	25583
82	4244	25515
83	4288	25425
84	4333	25337
85	4382	25275
86	4423	25168
87	4472	25109
88	4520	25038
89	4568	24976
90	4623	24948
91	4670	24877
92	4715	24792
93	4770	24766
94	4812	24672
95	4859	24599
96	4908	24540
97	4948	24438
98	4991	24351
99	5032	24255
100	5075	24172
101	5122	24104
102	5161	24005
103	5203	23917
104	5246	23832
105	5288	23748
106	5333	23676
107	5375	23591
108	5417	23508
109	5456	23412
110	5501	23345
111	5544	23268
112	5584	23178
113	5627	23102
114	5668	23020
115	5715	22959
116	5756	22879
117	5797	22796
118	5837	22713
119	5877	22630
120	5927	22584
121	5969	22506
122	6021	22469
123	6069	22416
124	6128	22404
125	6174	22345
126	6221	22291
127	6267	22229
128	6314	22174
129	6353	22089
130	6401	22039
131	6448	21982
132	6488	21903
133	6530	21833
134	6580	21788
135	6628	21735
136	6673	21676
137	6713	21599
138	6753	21524
139	6795	21453
140	6838	21389
141	6878	21312
142	6922	21252
143	6973	21212
144	7017	21149
145	7065	21098
